trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
165,2026-05-09 03:33:16.892413+00:00,UNH,hit_stop,-1.0,-187.15,18528.33,18781.37,-1.35,True
166,2026-05-09 03:33:16.913142+00:00,UNH,hit_stop,-1.0,-185.28,18343.04,18781.37,-2.33,True
167,2026-05-09 03:33:16.925661+00:00,UNH,hit_stop,-1.0,-183.43,18159.61,18781.37,-3.31,True
168,2026-05-09 03:33:16.950326+00:00,UNH,hit_target,2.96,537.52,18697.14,18781.37,-0.45,True
169,2026-05-09 03:33:16.978434+00:00,UNH,hit_target,1.29,241.19,18938.33,18938.33,0.0,False
170,2026-05-09 03:33:16.987920+00:00,UNH,expired,0.485,91.95,19030.28,19030.28,0.0,False
171,2026-05-09 03:33:17.023069+00:00,UNH,hit_target,1.25,237.88,19268.15,19268.15,0.0,False
172,2026-05-09 03:33:17.732652+00:00,MA,hit_stop,-1.0,-192.68,19075.47,19268.15,-1.0,True
173,2026-05-09 03:33:17.740073+00:00,MA,hit_stop,-1.0,-190.75,18884.72,19268.15,-1.99,True
174,2026-05-09 03:33:17.741440+00:00,MA,hit_stop,-1.0,-188.85,18695.87,19268.15,-2.97,True
175,2026-05-09 03:33:17.756687+00:00,MA,hit_stop,-1.0,-186.96,18508.91,19268.15,-3.94,True
176,2026-05-09 03:33:17.758050+00:00,MA,hit_stop,-1.0,-185.09,18323.82,19268.15,-4.9,True
177,2026-05-09 03:33:17.762673+00:00,MA,hit_target,1.56,285.85,18609.68,19268.15,-3.42,True
178,2026-05-09 03:33:17.763540+00:00,MA,hit_target,1.47,273.56,18883.24,19268.15,-2.0,True
179,2026-05-09 03:33:17.774047+00:00,MA,hit_stop,-1.0,-188.83,18694.4,19268.15,-2.98,True
180,2026-05-09 03:33:17.774509+00:00,MA,hit_stop,-1.0,-186.94,18507.46,19268.15,-3.95,True
181,2026-05-09 03:33:17.807389+00:00,MA,expired,0.904,167.22,18674.68,19268.15,-3.08,True
182,2026-05-09 03:33:17.808148+00:00,MA,hit_stop,-1.0,-186.75,18487.94,19268.15,-4.05,True
183,2026-05-09 03:33:17.813503+00:00,MA,hit_stop,-1.0,-184.88,18303.06,19268.15,-5.01,True
184,2026-05-09 03:33:17.820882+00:00,MA,expired,-0.624,-114.27,18188.78,19268.15,-5.6,True
185,2026-05-09 03:33:17.831423+00:00,MA,hit_target,1.98,360.14,18548.92,19268.15,-3.73,True
186,2026-05-09 03:33:17.837061+00:00,MA,hit_stop,-1.0,-185.49,18363.43,19268.15,-4.7,True
187,2026-05-09 03:33:17.848509+00:00,MA,expired,0.47,86.39,18449.82,19268.15,-4.25,True
188,2026-05-09 03:33:17.850098+00:00,MA,expired,0.298,54.97,18504.79,19268.15,-3.96,True
189,2026-05-09 03:33:17.853004+00:00,MA,hit_stop,-1.0,-185.05,18319.74,19268.15,-4.92,True
190,2026-05-09 03:33:17.892969+00:00,MA,hit_stop,-1.0,-183.2,18136.55,19268.15,-5.87,True
191,2026-05-09 03:33:17.894891+00:00,MA,hit_stop,-1.0,-181.37,17955.18,19268.15,-6.81,True
192,2026-05-09 03:33:18.611115+00:00,AVGO,hit_target,3.1,556.61,18511.79,19268.15,-3.93,True
193,2026-05-09 03:33:18.646013+00:00,AVGO,hit_stop,-1.0,-185.12,18326.67,19268.15,-4.89,True
194,2026-05-09 03:33:18.646606+00:00,AVGO,hit_stop,-1.0,-183.27,18143.41,19268.15,-5.84,True
195,2026-05-09 03:33:18.700770+00:00,AVGO,hit_stop,-1.0,-181.43,17961.97,19268.15,-6.78,True
196,2026-05-09 03:33:18.757216+00:00,AVGO,expired,0.69,124.0,18085.97,19268.15,-6.14,True
197,2026-05-09 03:33:18.821360+00:00,AVGO,hit_target,2.56,463.0,18548.97,19268.15,-3.73,True
198,2026-05-09 03:33:18.825347+00:00,AVGO,hit_stop,-1.0,-185.49,18363.48,19268.15,-4.7,True
199,2026-05-09 03:33:19.567748+00:00,HD,expired,0.408,74.99,18438.47,19268.15,-4.31,True
200,2026-05-09 03:33:19.590620+00:00,HD,hit_target,2.01,370.61,18809.09,19268.15,-2.38,True
201,2026-05-09 03:33:19.592947+00:00,HD,hit_target,3.41,641.39,19450.48,19450.48,0.0,False
202,2026-05-09 03:33:19.599955+00:00,HD,hit_stop,-1.0,-194.5,19255.97,19450.48,-1.0,True
203,2026-05-09 03:33:19.600708+00:00,HD,hit_stop,-1.0,-192.56,19063.41,19450.48,-1.99,True
204,2026-05-09 03:33:19.603742+00:00,HD,hit_target,1.46,278.33,19341.74,19450.48,-0.56,True
205,2026-05-09 03:33:19.605920+00:00,HD,expired,0.166,32.1,19373.84,19450.48,-0.39,True
206,2026-05-09 03:33:19.606488+00:00,HD,hit_stop,-1.0,-193.74,19180.1,19450.48,-1.39,True
207,2026-05-09 03:33:19.609778+00:00,HD,hit_stop,-1.0,-191.8,18988.3,19450.48,-2.38,True
208,2026-05-09 03:33:19.626247+00:00,HD,hit_stop,-1.0,-189.88,18798.42,19450.48,-3.35,True
209,2026-05-09 03:33:19.630745+00:00,HD,hit_stop,-1.0,-187.98,18610.43,19450.48,-4.32,True
210,2026-05-09 03:33:19.642199+00:00,HD,hit_target,1.91,355.46,18965.89,19450.48,-2.49,True
211,2026-05-09 03:33:19.655627+00:00,HD,hit_stop,-1.0,-189.66,18776.23,19450.48,-3.47,True
212,2026-05-09 03:33:19.664933+00:00,HD,expired,-0.062,-11.57,18764.66,19450.48,-3.53,True
213,2026-05-09 03:33:19.665409+00:00,HD,hit_stop,-1.0,-187.65,18577.02,19450.48,-4.49,True
214,2026-05-09 03:33:19.703684+00:00,HD,expired,0.831,154.36,18731.38,19450.48,-3.7,True
215,2026-05-09 03:33:19.704433+00:00,HD,expired,5.338,999.93,19731.31,19731.31,0.0,False
216,2026-05-09 03:33:19.706905+00:00,HD,expired,-0.478,-94.39,19636.93,19731.31,-0.48,True
217,2026-05-09 03:33:19.707464+00:00,HD,hit_stop,-1.0,-196.37,19440.56,19731.31,-1.47,True
218,2026-05-09 03:33:20.681662+00:00,PG,hit_stop,-1.0,-194.41,19246.15,19731.31,-2.46,True
219,2026-05-09 03:33:20.699188+00:00,PG,expired,0.614,118.1,19364.25,19731.31,-1.86,True
220,2026-05-09 03:33:20.703414+00:00,PG,expired,0.281,54.34,19418.59,19731.31,-1.58,True
221,2026-05-09 03:33:20.714652+00:00,PG,hit_target,2.1,407.79,19826.38,19826.38,0.0,False
222,2026-05-09 03:33:20.718969+00:00,PG,hit_stop,-1.0,-198.26,19628.12,19826.38,-1.0,True
223,2026-05-09 03:33:20.741881+00:00,PG,hit_stop,-1.0,-196.28,19431.83,19826.38,-1.99,True
224,2026-05-09 03:33:20.753838+00:00,PG,hit_target,2.42,470.25,19902.08,19902.08,0.0,False
225,2026-05-09 03:33:20.754384+00:00,PG,hit_stop,-1.0,-199.02,19703.06,19902.08,-1.0,True
226,2026-05-09 03:33:20.764891+00:00,PG,hit_stop,-1.0,-197.03,19506.03,19902.08,-1.99,True
227,2026-05-09 03:33:20.769456+00:00,PG,hit_target,1.44,280.89,19786.92,19902.08,-0.58,True
228,2026-05-09 03:33:20.769993+00:00,PG,hit_stop,-1.0,-197.87,19589.05,19902.08,-1.57,True
229,2026-05-09 03:33:20.786727+00:00,PG,hit_stop,-1.0,-195.89,19393.16,19902.08,-2.56,True
230,2026-05-09 03:33:20.832183+00:00,PG,hit_target,2.82,546.89,19940.05,19940.05,0.0,False
